SALETYPE,SOLDDATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIPCODE,PRICE,BEDS,BATHS,SQFT,LOTSIZE,YEARBUILT,DAYSONMARKET,PPSQFT,HOA,URL,LATITUDE,LONGITUDE
PAST SALE,January-16-2020,Single Family Residential,3836 Belvidere Ave SW,Seattle,WA,98126,516000,2,1,720,5175,1943,125,717,,http://www.redfin.com/WA/Seattle/3836-Belvidere-Ave-SW-98126/home/329311,47.5687479,-122.3797962
PAST SALE,July-15-2019,Single Family Residential,4205 S Kenny St,Seattle,WA,98118,395000,2,1,500,4725,1929,310,790,,http://www.redfin.com/WA/Seattle/4205-S-Kenny-St-98118/home/172847,47.548769,-122.2804299
PAST SALE,April-3-2020,Single Family Residential,4408 SW Graham St,Seattle,WA,98136,595000,2,1,640,4000,1918,47,930,,http://www.redfin.com/WA/Seattle/4408-SW-Graham-St-98136/home/154095,47.5469148,-122.3892202
PAST SALE,March-20-2020,Single Family Residential,12624 70th Ave S,Seattle,WA,98178,397000,2,1,710,6960,1943,61,559,,http://www.redfin.com/WA/Seattle/12624-70th-Ave-S-98178/home/196671,47.4886082,-122.2464022
PAST SALE,September-19-2019,Single Family Residential,617 23rd Ave E,Seattle,WA,98112,505000,1,1,690,3200,1910,244,732,,http://www.redfin.com/WA/Seattle/617-23rd-Ave-E-98112/home/144404,47.624985,-122.3027029
PAST SALE,September-4-2019,Single Family Residential,8157 10th Ave SW,Seattle,WA,98106,390000,2,1,670,7140,1923,259,582,,http://www.redfin.com/WA/Seattle/8157-10th-Ave-SW-98106/home/476297,47.5284724,-122.3483327
PAST SALE,October-31-2019,Single Family Residential,4441 46th Ave SW,Seattle,WA,98116,549000,2,1,750,5650,1926,202,732,,http://www.redfin.com/WA/Seattle/4441-46th-Ave-SW-98116/home/329857,47.563511,-122.3912279
PAST SALE,April-7-2020,Single Family Residential,9238 21st Ave SW,Seattle,WA,98106,510000,2,1,620,5080,1941,43,823,,http://www.redfin.com/WA/Seattle/9238-21st-Ave-SW-98106/home/472465,47.519898,-122.360247
PAST SALE,May-20-2020,Single Family Residential,9261 30th Ave SW,Seattle,WA,98126,450000,2,1,730,5000,1951,1,616,,http://www.redfin.com/WA/Seattle/9261-30th-Ave-SW-98126/home/473453,47.5193095,-122.3716156
PAST SALE,May-8-2020,Single Family Residential,9305 31st Ave SW,Seattle,WA,98126,441500,2,1,700,5000,1951,12,631,,http://www.redfin.com/WA/Seattle/9305-31st-Ave-SW-98126/home/472248,47.5190103,-122.3726591
PAST SALE,June-14-2019,Single Family Residential,9014 24th Ave SW,Seattle,WA,98106,630000,0,,660,7440,1926,341,955,,http://www.redfin.com/WA/Seattle/9014-24th-Ave-SW-98106/home/472827,47.5223312,-122.3628264
PAST SALE,November-27-2019,Single Family Residential,700 26th Ave,Seattle,WA,98122,320000,1,1,540,1361,1926,175,593,188,http://www.redfin.com/WA/Seattle/700-26th-Ave-98122/home/40080043,47.608236,-122.29863
PAST SALE,July-16-2019,Single Family Residential,9907 32nd Ave SW,Seattle,WA,98126,399500,2,1,710,6300,1942,309,563,,http://www.redfin.com/WA/Seattle/9907-32nd-Ave-SW-98126/home/154812,47.5143901,-122.3734002
PAST SALE,September-20-2019,Single Family Residential,10645 3RD Ave SW,Seattle,WA,98146,270000,2,1.5,670,6120,1942,243,403,,http://www.redfin.com/WA/Seattle/10645-3rd-Ave-SW-98146/home/181674,47.5073079,-122.338324
